Crypto,Q1,Q2,Q3,Q4
Binance,0,0,1010,2298
Bitcoin,20299,88497,151869,609081
Bitcion Cash,0,0,28441,140381
Cardano,0,0,0,6439
Dogecoin,26,1562,628,1869
Ethereum,5314,52245,88542,125194
Litecoin,913,22780,34048,63877
Monero,613,1326,4299,10267
Stellar,25,2360,739,7934
